agentType,gamemode,score,deepestRoom,finalHP,performance,seed
greedy,e,-83,14,-2,44,7933471146482662376
greedy,e,-118,9,-12,32,5861806364555643518
greedy,e,-134,7,-6,26,7094683949152934481
greedy,e,-139,9,0,24,3058492047970468529
greedy,e,-76,14,-8,47,4401015957675659494
greedy,e,-79,14,-9,46,2198729759316867541
greedy,e,-80,12,0,46,1019859305710159495
greedy,e,-131,6,-7,27,1306303528395387329
greedy,e,-129,7,0,28,8502427294398972550
greedy,e,-96,11,-1,40,2720345505446653312
greedy,e,-93,11,-8,41,4768380178841946449
greedy,e,-146,6,-1,22,2297826836083659288
greedy,e,-175,2,-1,11,4544538110045520511
greedy,e,-82,11,0,45,6037147807164235480
greedy,e,-89,12,-7,42,5194831900595486993
greedy,e,-17,16,0,68,2284589374279711887
greedy,e,-30,16,-3,64,7106537561505664525
greedy,e,-51,14,0,56,6205766898766799049
greedy,e,-147,7,-8,21,7078398386024284010
greedy,e,-188,1,-1,7,1562590214222604375
greedy,e,-43,16,-8,59,7067244261482198910
greedy,e,-158,6,-8,17,8955916398088727568
greedy,e,-161,3,-5,16,8565894676120199906
greedy,e,-144,5,-4,23,1672145213223477212
greedy,e,-188,1,-9,7,8214173181513899708
greedy,e,-56,14,-7,54,9074382344724604499
greedy,e,-133,9,-2,26,8969160908620675561
greedy,e,-145,6,0,22,8095283354212870399
greedy,e,-118,10,0,32,556039604376653867
greedy,e,-179,1,-1,10,4037534869321524386
greedy,e,-15,17,-2,69,939087260637926308
greedy,e,0,18,0,74,452042370359521028
greedy,e,-117,10,0,32,6529955778767265060
greedy,e,-172,4,-5,12,2718480942990864544
greedy,e,-120,6,0,31,8314398391161807083
greedy,e,-32,16,-5,63,3058299729132619541
greedy,e,-8,16,-1,71,9016666564849889374
greedy,e,-188,1,-6,7,7529376380557969325
greedy,e,-128,8,0,28,7292490036567093175
greedy,e,-103,12,0,37,6259677901934004569
greedy,e,-112,7,0,34,9119360134488530460
greedy,e,-169,5,-2,14,364553426156071120
greedy,e,-90,12,-10,42,6887580216151582462
greedy,e,-170,3,0,13,1497042959698974212
greedy,e,-122,11,-3,30,6822493025876088792
greedy,e,-139,8,-2,24,7959041516509660840
greedy,e,-99,12,-7,39,2388613821760413150
greedy,e,-68,14,-10,50,3353434108968122836
greedy,e,-162,5,-6,16,4879847683132719515
greedy,e,-111,9,-8,34,1837847345423387434
greedy,e,-124,9,0,30,755427154748858738
greedy,e,-141,7,0,24,7833991749801248288
greedy,e,-186,1,-1,7,4545869287374253106
greedy,e,-86,13,-1,43,1792692647487624701
greedy,e,-188,1,-3,7,4481308284128508686
greedy,e,-82,13,-5,45,6036748116069328222
greedy,e,-58,15,-3,53,7936972112088888598
greedy,e,-188,1,-1,7,124967144403387722
greedy,e,-188,1,-2,7,1596103816412138828
greedy,e,-120,7,-7,31,7206230068715796205
greedy,e,-163,4,-4,16,5323072302956280976
greedy,e,-79,14,-3,46,2285567027794063295
greedy,e,-135,9,-2,26,8080283924269030518
greedy,e,-98,10,0,39,7002673805654735614
greedy,e,-31,16,0,63,3039241993258437927
greedy,e,-80,13,-7,46,2656442664507611710
greedy,e,-68,13,-1,50,1894395986012976070
greedy,e,-123,5,-3,30,4288051803843591279
greedy,e,-38,16,-1,61,1672580384715444305
greedy,e,-113,9,-9,34,5751711837249164781
greedy,e,-136,5,0,25,9088616411565301808
greedy,e,5,17,-1,76,6464603928728646907
greedy,e,-92,11,-9,41,226007059467158476
greedy,e,-188,2,-4,7,5149064795474261386
greedy,e,-132,8,-3,27,5525902670636188496
greedy,e,-124,9,-5,30,7081610193575277902
greedy,e,-163,3,0,16,7922911848766197170
greedy,e,-184,1,-1,8,9079713175036091847
greedy,e,-143,7,0,23,4619710003115955095
greedy,e,-151,3,-2,20,6905147783617980640
greedy,e,-150,6,-8,20,5808792715585668051
greedy,e,-130,8,-7,28,6441601594044188471
greedy,e,-185,1,-4,8,8656513975360434480
greedy,e,-162,5,-1,16,1688618893489426185
greedy,e,-98,11,-5,39,7525282946419605054
greedy,e,-74,14,-7,48,8319264410465193034
greedy,e,-188,1,-2,7,4057122352000289167
greedy,e,-132,10,-1,27,6984225079724895627
greedy,e,-129,9,-5,28,5605696762501564819
greedy,e,-87,13,-3,43,5022752843823130694
greedy,e,-129,6,-1,28,4681137698413092638
greedy,e,-141,7,-4,24,4524194218244603422
greedy,e,-175,3,-1,11,6991067760241828454
greedy,e,-177,2,-9,11,3156854084256668430
greedy,e,-154,6,-11,19,6126160200297483654
greedy,e,-68,14,-2,50,6786014909310729025
greedy,e,-161,5,-8,16,3134283087319921654
greedy,e,-133,9,-3,26,3033192465613075783
greedy,e,-178,3,-2,10,705700666359120323
greedy,e,-177,1,-1,11,7170532675346830885
greedy,e,-84,13,-2,44,4441544077790641166
greedy,e,-153,6,0,19,640195998279197110
greedy,e,-73,14,-2,48,7488724673346110869
greedy,e,-108,9,-2,35,2214588025573612673
greedy,e,-129,11,-7,28,6685964279803050195
greedy,e,-16,17,-3,69,3184064920609320754
greedy,e,-171,4,-2,13,2125269303090795678
greedy,e,-99,13,-6,39,5393125844054511989
greedy,e,-178,3,-9,10,134227144033914820
greedy,e,-80,13,-10,46,6156973133760186569
greedy,e,-58,14,-11,53,8406146873167647063
greedy,e,20,18,20,82,6148776894298965799
greedy,e,-188,1,-10,7,6261703183014352228
greedy,e,-141,4,0,24,8456545306748616499
greedy,e,-188,1,0,7,6694546686026160632
greedy,e,-39,16,0,60,2020630893806076797
greedy,e,-11,18,-11,70,5993667344911576012
greedy,e,-126,8,0,29,4108359543408399012
greedy,e,-186,3,-1,7,1898020267364606273
greedy,e,-188,1,-11,7,4709709916960159134
greedy,e,-121,7,0,31,7737525060661710649
greedy,e,-188,1,-11,7,3465442549094796300
greedy,e,-106,11,-5,36,2314386556988551254
greedy,e,-151,4,0,20,1611354994683670721
greedy,e,-90,12,-7,42,1047544572374640118
greedy,e,-93,12,0,41,5508797136583279574
greedy,e,-135,6,-13,26,6428959903187840931
greedy,e,-179,2,0,10,2452442160608626757
greedy,e,-178,3,-1,10,3636585687588631300
greedy,e,-26,16,-3,65,6246593579200203168
greedy,e,-183,2,-4,8,4366038263510880224
greedy,e,-150,5,-5,20,1433424431684472259
greedy,e,-77,14,-7,47,2483099583737040777
greedy,e,-113,10,0,34,7516952976143722624
greedy,e,-184,1,-1,8,6786679955141543442
greedy,e,-99,8,-1,39,5710248278443101552
greedy,e,-174,3,-3,12,2250417368155040250
greedy,e,-115,11,-8,33,3682248532191631999
greedy,e,-114,12,-1,33,5145763745226119881
greedy,e,-132,9,-2,27,6490991195785337613
greedy,e,-138,8,0,25,7038629757438281872
greedy,e,-53,14,-2,55,5138224779191988688
greedy,e,-148,5,-4,21,7337869465555986974
greedy,e,-154,5,0,19,2058342621102577359
greedy,e,-153,4,-9,19,8886111568254866189
greedy,e,-183,1,-1,8,6548705635327730525
greedy,e,-107,9,-4,36,1865438118745696572
greedy,e,-56,15,-1,54,7078451727556161966
greedy,e,-117,9,-4,32,315527042137053665
greedy,e,-128,8,-3,28,2335775822985103783
greedy,e,-125,7,-2,29,1840253385706089622
greedy,e,-77,12,-3,47,2958095013946259767
greedy,e,-155,6,-4,19,7318364854247952664
greedy,e,-172,5,-4,12,8833444758628121770
greedy,e,-26,17,-2,65,8594657779420843949
greedy,e,-147,6,-3,21,7690802654586803820
greedy,e,-115,10,-3,33,8753088413459979795
greedy,e,-84,12,-1,44,2826547176040656444
greedy,e,-75,14,-2,47,5649293653250480895
greedy,e,-147,6,-2,21,8116864237973802712
greedy,e,-91,12,0,42,2310871570892117502
greedy,e,-154,3,-5,19,606816443992759820
greedy,e,-45,16,0,58,7238686983431813573
greedy,e,-131,7,-6,27,8989542808145362269
greedy,e,-85,9,-2,44,3995665799902149311
greedy,e,-138,6,-5,25,3400613027916239430
greedy,e,-61,15,-3,52,5631591929117903950
greedy,e,-86,13,-8,43,6923681241201150314
greedy,e,-47,14,-1,57,6140835946846231066
greedy,e,-101,12,-2,38,5505949472921586301
greedy,e,-188,1,-6,7,3367761048671061564
greedy,e,-92,12,0,41,8725054153543432358
greedy,e,-173,3,-11,12,4742884619826754434
greedy,e,-165,1,-1,15,5421645502116735672
greedy,e,-178,3,0,10,4331959158126141396
greedy,e,-97,12,-11,39,7174075047883366040
greedy,e,-65,15,-8,51,1538220926078690947
greedy,e,-39,14,0,60,2512653072589227278
greedy,e,-166,5,-8,15,2562040032805897917
greedy,e,-134,8,0,26,5470481720751726465
greedy,e,-138,7,-3,25,5562091405241436154
greedy,e,-35,16,-3,62,7375495633289571969
greedy,e,-132,9,0,27,8446268645574475119
greedy,e,-100,12,-6,38,944036000545527865
greedy,e,-145,5,-1,22,7100856709323026214
greedy,e,-56,14,-1,54,3147172389330243588
greedy,e,-105,11,-2,37,2291915484389632730
greedy,e,-89,11,-11,42,3231548027374813894
greedy,e,-111,11,-2,34,1324318864231488999
greedy,e,-163,4,-3,16,7992642293057372155
greedy,e,-86,13,-2,43,5375718037897804575
greedy,e,-56,14,-3,54,9084715905170624307
greedy,e,-78,13,-5,46,4383121343621536043
greedy,e,-78,11,-7,46,2721468317964495549
greedy,e,-125,9,-5,29,2011327334457036579
greedy,e,-163,3,-7,16,6532096806494614694
greedy,e,-90,12,-9,42,1272335897699787276
greedy,e,-105,11,-1,37,7048246791808333145
