agentType,gamemode,score,deepestRoom,finalHP,performance,seed
random,e,-179,2,-2,10,6621115068909091064
random,e,-80,11,-1,46,4893037093119070144
random,e,-174,4,-6,12,6979679816040730403
random,e,-114,8,-4,33,4739996958512300628
random,e,-178,2,-5,10,7369583387331968276
random,e,-188,2,-1,7,1093099004679995652
random,e,-188,2,-4,7,2087292489670554270
random,e,-167,3,-9,14,2080354360586492294
random,e,-132,6,-1,27,4725442206952425236
random,e,-185,2,0,8,6419877839161036371
random,e,-150,7,-4,20,758417590056392822
random,e,-130,11,0,28,3697617869823698851
random,e,-168,5,-4,14,1642663629555076599
random,e,-176,1,-2,11,2026794861026896567
random,e,-183,2,-2,8,8343965871890096930
random,e,-166,3,-2,15,2656033942016108735
random,e,-177,3,-2,11,6590838514332796975
random,e,-183,2,-10,8,5053606864601447707
random,e,-101,8,0,38,6281247129597817105
random,e,-181,2,-3,9,6293255649530166974
random,e,-126,7,-6,29,4607749289805255548
random,e,-181,2,-5,9,1854317073935077676
random,e,-188,1,-1,7,1789332045490989789
random,e,-180,1,-3,10,2157300871181373820
random,e,-184,1,-9,8,7180734301196097838
random,e,-163,3,-6,16,8186623549010568078
random,e,-180,2,0,10,1843479966181175550
random,e,-188,1,0,7,8891797387663360349
random,e,-174,3,-6,12,179293202574541164
random,e,-174,3,-2,12,332966050954528394
random,e,-157,5,-4,18,4109142343346549669
random,e,-179,4,-10,10,2591194332627781188
random,e,-188,2,-12,7,3046987258493941512
random,e,-180,1,-3,10,8817476483053267675
random,e,-171,4,-3,13,8315629272764170310
random,e,-188,1,-5,7,46697484060310977
random,e,-188,1,-1,7,3960017741910635227
random,e,-185,2,-3,8,9094732604200708648
random,e,-188,1,-3,7,8704656968029126072
random,e,-150,4,0,20,5122543616390311949
random,e,-153,4,-8,19,7232169890288349231
random,e,-132,7,-10,27,8264736764428776719
random,e,-63,14,-8,52,8548423221211708090
random,e,-124,8,-3,30,6057397043759889595
random,e,-163,3,-6,16,4140765356029789753
random,e,-188,2,0,7,5282540271747338115
random,e,-178,3,-2,10,2238107238574972708
random,e,-188,1,0,7,3143648184448952641
random,e,-164,3,-2,15,6050577301617347220
random,e,-174,3,-3,12,6871552384260165646
random,e,-141,4,-7,24,9051395586915373949
random,e,-103,9,-9,37,8352875477528462812
random,e,-188,1,-4,7,4730136425732503352
